State,City,Time,Price
 CA,Los Angeles,2008-02-29,470000.0
 CA,Los Angeles,2008-03-31,456000.0
 CA,Los Angeles,2008-04-30,457000.0
 CA,Los Angeles,2008-05-31,440000.0
 CA,Los Angeles,2008-06-30,435000.0
 CA,Los Angeles,2008-07-31,420000.0
 CA,Los Angeles,2008-08-31,402250.0
 CA,Los Angeles,2008-09-30,379000.0
 CA,Los Angeles,2008-10-31,370050.0
 CA,Los Angeles,2008-11-30,350000.0
 CA,Los Angeles,2008-12-31,340000.0
 CA,Los Angeles,2009-01-31,319500.0
 CA,Los Angeles,2009-02-28,319000.0
 CA,Los Angeles,2009-03-31,324000.0
 CA,Los Angeles,2009-04-30,320000.0
 CA,Los Angeles,2009-05-31,330000.0
 CA,Los Angeles,2009-06-30,350000.0
 CA,Los Angeles,2009-07-31,350000.0
 CA,Los Angeles,2009-08-31,350000.0
 CA,Los Angeles,2009-09-30,360000.0
 CA,Los Angeles,2009-10-31,355250.0
 CA,Los Angeles,2009-11-30,360000.0
 CA,Los Angeles,2009-12-31,360000.0
 CA,Los Angeles,2010-01-31,350000.0
 CA,Los Angeles,2010-02-28,345000.0
 CA,Los Angeles,2010-03-31,358500.0
 CA,Los Angeles,2010-04-30,358000.0
 CA,Los Angeles,2010-05-31,375000.0
 CA,Los Angeles,2010-06-30,363000.0
 CA,Los Angeles,2010-07-31,365000.0
 CA,Los Angeles,2010-08-31,360000.0
 CA,Los Angeles,2010-09-30,369000.0
 CA,Los Angeles,2010-10-31,352000.0
 CA,Los Angeles,2010-11-30,351750.0
 CA,Los Angeles,2010-12-31,355000.0
 CA,Los Angeles,2011-01-31,332000.0
 CA,Los Angeles,2011-02-28,345000.0
 CA,Los Angeles,2011-03-31,350000.0
 CA,Los Angeles,2011-04-30,350000.0
 CA,Los Angeles,2011-05-31,350000.0
 CA,Los Angeles,2011-06-30,350000.0
 CA,Los Angeles,2011-07-31,350000.0
 CA,Los Angeles,2011-08-31,343750.0
 CA,Los Angeles,2011-09-30,342500.0
 CA,Los Angeles,2011-10-31,330000.0
 CA,Los Angeles,2011-11-30,330000.0
 CA,Los Angeles,2011-12-31,330000.0
 CA,Los Angeles,2012-01-31,315000.0
 CA,Los Angeles,2012-02-29,320000.0
 CA,Los Angeles,2012-03-31,335000.0
 CA,Los Angeles,2012-04-30,345000.0
 CA,Los Angeles,2012-05-31,350000.0
 CA,Los Angeles,2012-06-30,360000.0
 CA,Los Angeles,2012-07-31,362000.0
 CA,Los Angeles,2012-08-31,365000.0
 CA,Los Angeles,2012-09-30,375000.0
 CA,Los Angeles,2012-10-31,370000.0
 CA,Los Angeles,2012-11-30,379000.0
 CA,Los Angeles,2012-12-31,390000.0
 CA,Los Angeles,2013-01-31,370000.0
 CA,Los Angeles,2013-02-28,385000.0
 CA,Los Angeles,2013-03-31,415000.0
 CA,Los Angeles,2013-04-30,435000.0
 CA,Los Angeles,2013-05-31,445000.0
 CA,Los Angeles,2013-06-30,460000.0
 CA,Los Angeles,2013-07-31,460000.0
 CA,Los Angeles,2013-08-31,460000.0
 CA,Los Angeles,2013-09-30,458000.0
 CA,Los Angeles,2013-10-31,451000.0
 CA,Los Angeles,2013-11-30,450000.0
 CA,Los Angeles,2013-12-31,463000.0
 CA,Los Angeles,2014-01-31,445000.0
 CA,Los Angeles,2014-02-28,460000.0
 CA,Los Angeles,2014-03-31,471000.0
 CA,Los Angeles,2014-04-30,480000.0
 CA,Los Angeles,2014-05-31,500000.0
 CA,Los Angeles,2014-06-30,490000.0
 CA,Los Angeles,2014-07-31,500000.0
 CA,Los Angeles,2014-08-31,501000.0
 CA,Los Angeles,2014-09-30,490000.0
 CA,Los Angeles,2014-10-31,490000.0
 CA,Los Angeles,2014-11-30,488000.0
 CA,Los Angeles,2014-12-31,485000.0
 CA,Los Angeles,2015-01-31,485000.0
 CA,Los Angeles,2015-02-28,497000.0
 CA,Los Angeles,2015-03-31,505000.0
 CA,Los Angeles,2015-04-30,520000.0
 CA,Los Angeles,2015-05-31,520000.0
 CA,Los Angeles,2015-06-30,531000.0
 CA,Los Angeles,2015-07-31,525000.0
 CA,Los Angeles,2015-08-31,525000.0
 CA,Los Angeles,2015-09-30,516500.0
 CA,Los Angeles,2015-10-31,510000.0
 CA,Los Angeles,2015-11-30,520000.0
 CA,Los Angeles,2015-12-31,526000.0
 CA,Los Angeles,2016-01-31,515000.0
 CA,Los Angeles,2016-02-29,520000.0
 CA,Los Angeles,2016-03-31,535000.0
 CA,Los Angeles,2016-04-30,550000.0
 CA,Los Angeles,2016-05-31,560000.0
 CA,Los Angeles,2016-06-30,560000.0
 CA,Los Angeles,2016-07-31,555000.0
 CA,Los Angeles,2016-08-31,562000.0
 CA,Los Angeles,2016-09-30,550000.0
 CA,Los Angeles,2016-10-31,555000.0
 CA,Los Angeles,2016-11-30,555000.0
 CA,Los Angeles,2016-12-31,549000.0
 CA,Los Angeles,2017-01-31,550000.0
 CA,Los Angeles,2017-02-28,550000.0
 CA,Los Angeles,2017-03-31,570000.0
 CA,Los Angeles,2017-04-30,580000.0
 CA,Los Angeles,2017-05-31,595000.0
 CA,Los Angeles,2017-06-30,600000.0
 CA,Los Angeles,2017-07-31,605000.0
 CA,Los Angeles,2017-08-31,600000.0
 CA,Los Angeles,2017-09-30,600000.0
 CA,Los Angeles,2017-10-31,590000.0
 CA,Los Angeles,2017-11-30,605000.0
 CA,Los Angeles,2017-12-31,595000.0
 CA,Los Angeles,2018-01-31,590000.0
 CA,Los Angeles,2018-02-28,615000.0
 CA,Los Angeles,2018-03-31,620000.0
 CA,Los Angeles,2018-04-30,625000.0
 CA,Los Angeles,2018-05-31,640000.0
 CA,Los Angeles,2018-06-30,645000.0
 CA,Los Angeles,2018-07-31,640000.0
 CA,Los Angeles,2018-08-31,638750.0
 CA,Los Angeles,2018-09-30,625000.0
 CA,Los Angeles,2018-10-31,625000.0
 CA,Los Angeles,2018-11-30,627000.0
 CA,Los Angeles,2018-12-31,605000.0
 CA,Los Angeles,2019-01-31,600000.0
 CA,Los Angeles,2019-02-28,610000.0
 CA,Los Angeles,2019-03-31,630000.0
 CA,Los Angeles,2019-04-30,640000.0
 CA,Los Angeles,2019-05-31,640000.0
 CA,Los Angeles,2019-06-30,649000.0
 CA,Los Angeles,2019-07-31,655000.0
 CA,Los Angeles,2019-08-31,640000.0
 CA,Los Angeles,2019-09-30,640750.0
 CA,Los Angeles,2019-10-31,640000.0
 CA,Los Angeles,2019-11-30,640000.0
 CA,Los Angeles,2019-12-31,650000.0
 CA,Los Angeles,2020-01-31,649500.0
 CA,Los Angeles,2020-02-29,650000.0
 CA,Los Angeles,2020-03-31,670000.0
 CA,Los Angeles,2020-04-30,655000.0
 CA,Los Angeles,2020-05-31,650000.0
 CA,Los Angeles,2020-06-30,675000.0
 CA,Los Angeles,2020-07-31,701000.0
 CA,Los Angeles,2020-08-31,720000.0
 CA,Los Angeles,2020-09-30,730000.0
 CA,Los Angeles,2020-10-31,730250.0
 CA,Los Angeles,2020-11-30,725000.0
 CA,Los Angeles,2020-12-31,725000.0
 CA,Los Angeles,2021-01-31,720000.0
 CA,Los Angeles,2021-02-28,745000.0
 CA,Los Angeles,2021-03-31,772000.0
 CA,Los Angeles,2021-04-30,800000.0
 CA,Los Angeles,2021-05-31,815750.0
 CA,Los Angeles,2021-06-30,823000.0
 CA,Los Angeles,2021-07-31,820000.0
 CA,Los Angeles,2021-08-31,820000.0
 CA,Los Angeles,2021-09-30,820000.0
 CA,Los Angeles,2021-10-31,825000.0
 CA,Los Angeles,2021-11-30,825000.0
 CA,Los Angeles,2021-12-31,840000.0
 CA,Los Angeles,2022-01-31,830000.0
 CA,Los Angeles,2022-02-28,855000.0
 CA,Los Angeles,2022-03-31,885000.0
 CA,Los Angeles,2022-04-30,907000.0
 CA,Los Angeles,2022-05-31,910000.0
 CA,Los Angeles,2022-06-30,900000.0
 CA,Los Angeles,2022-07-31,866750.0
 CA,Los Angeles,2022-08-31,859000.0
 CA,Los Angeles,2022-09-30,850000.0
 CA,Los Angeles,2022-10-31,840000.0
 CA,Los Angeles,2022-11-30,822000.0
 CA,Los Angeles,2022-12-31,805000.0
 CA,Los Angeles,2023-01-31,805000.0
 CA,Los Angeles,2023-02-28,825000.0
 CA,Los Angeles,2023-03-31,845000.0
 CA,Los Angeles,2023-04-30,850000.0
 CA,Los Angeles,2023-05-31,860000.0
 CA,Los Angeles,2023-06-30,885000.0
 CA,Los Angeles,2023-07-31,890000.0
 CA,Los Angeles,2023-08-31,895000.0
 CA,Los Angeles,2023-09-30,885000.0
 CA,Los Angeles,2023-10-31,890500.0
 CA,Los Angeles,2023-11-30,900000.0
 CA,Los Angeles,2023-12-31,875000.0
 IL,Chicago,2008-02-29,224000.0
 IL,Chicago,2008-03-31,230000.0
 IL,Chicago,2008-04-30,228000.0
 IL,Chicago,2008-05-31,235000.0
 IL,Chicago,2008-06-30,242000.0
 IL,Chicago,2008-07-31,242000.0
 IL,Chicago,2008-08-31,237500.0
 IL,Chicago,2008-09-30,220000.0
 IL,Chicago,2008-10-31,220000.0
 IL,Chicago,2008-11-30,200000.0
 IL,Chicago,2008-12-31,200000.0
 IL,Chicago,2009-01-31,185000.0
 IL,Chicago,2009-02-28,185000.0
 IL,Chicago,2009-03-31,195000.0
 IL,Chicago,2009-04-30,192000.0
 IL,Chicago,2009-05-31,202000.0
 IL,Chicago,2009-06-30,205000.0
 IL,Chicago,2009-07-31,205000.0
 IL,Chicago,2009-08-31,198000.0
 IL,Chicago,2009-09-30,190000.0
 IL,Chicago,2009-10-31,185000.0
 IL,Chicago,2009-11-30,182000.0
 IL,Chicago,2009-12-31,180000.0
 IL,Chicago,2010-01-31,184000.0
 IL,Chicago,2010-02-28,176000.0
 IL,Chicago,2010-03-31,187000.0
 IL,Chicago,2010-04-30,191000.0
 IL,Chicago,2010-05-31,194000.0
 IL,Chicago,2010-06-30,205000.0
 IL,Chicago,2010-07-31,198000.0
 IL,Chicago,2010-08-31,200000.0
 IL,Chicago,2010-09-30,178500.0
 IL,Chicago,2010-10-31,182250.0
 IL,Chicago,2010-11-30,180000.0
 IL,Chicago,2010-12-31,170000.0
 IL,Chicago,2011-01-31,165000.0
 IL,Chicago,2011-02-28,160000.0
 IL,Chicago,2011-03-31,160000.0
 IL,Chicago,2011-04-30,167500.0
 IL,Chicago,2011-05-31,175000.0
 IL,Chicago,2011-06-30,182000.0
 IL,Chicago,2011-07-31,185000.0
 IL,Chicago,2011-08-31,180000.0
 IL,Chicago,2011-09-30,162500.0
 IL,Chicago,2011-10-31,154950.0
 IL,Chicago,2011-11-30,150000.0
 IL,Chicago,2011-12-31,149000.0
 IL,Chicago,2012-01-31,141000.0
 IL,Chicago,2012-02-29,140000.0
 IL,Chicago,2012-03-31,155000.0
 IL,Chicago,2012-04-30,164000.0
 IL,Chicago,2012-05-31,173000.0
 IL,Chicago,2012-06-30,184000.0
 IL,Chicago,2012-07-31,174450.0
 IL,Chicago,2012-08-31,169000.0
 IL,Chicago,2012-09-30,156000.0
 IL,Chicago,2012-10-31,148000.0
 IL,Chicago,2012-11-30,152000.0
 IL,Chicago,2012-12-31,147500.0
 IL,Chicago,2013-01-31,140000.0
 IL,Chicago,2013-02-28,135000.0
 IL,Chicago,2013-03-31,151000.0
 IL,Chicago,2013-04-30,165000.0
 IL,Chicago,2013-05-31,176000.0
 IL,Chicago,2013-06-30,195000.0
 IL,Chicago,2013-07-31,195000.0
 IL,Chicago,2013-08-31,190000.0
 IL,Chicago,2013-09-30,180000.0
 IL,Chicago,2013-10-31,174000.0
 IL,Chicago,2013-11-30,170000.0
 IL,Chicago,2013-12-31,176000.0
 IL,Chicago,2014-01-31,163125.0
 IL,Chicago,2014-02-28,159700.0
 IL,Chicago,2014-03-31,173000.0
 IL,Chicago,2014-04-30,185000.0
 IL,Chicago,2014-05-31,200000.0
 IL,Chicago,2014-06-30,215000.0
 IL,Chicago,2014-07-31,208000.0
 IL,Chicago,2014-08-31,210000.0
 IL,Chicago,2014-09-30,194900.0
 IL,Chicago,2014-10-31,185000.0
 IL,Chicago,2014-11-30,180000.0
 IL,Chicago,2014-12-31,180000.0
 IL,Chicago,2015-01-31,176500.0
 IL,Chicago,2015-02-28,169500.0
 IL,Chicago,2015-03-31,191950.0
 IL,Chicago,2015-04-30,200000.0
 IL,Chicago,2015-05-31,213000.0
 IL,Chicago,2015-06-30,224000.0
 IL,Chicago,2015-07-31,220000.0
 IL,Chicago,2015-08-31,210000.0
 IL,Chicago,2015-09-30,202500.0
 IL,Chicago,2015-10-31,193500.0
 IL,Chicago,2015-11-30,188660.0
 IL,Chicago,2015-12-31,188750.0
 IL,Chicago,2016-01-31,180050.0
 IL,Chicago,2016-02-29,177000.0
 IL,Chicago,2016-03-31,197652.0
 IL,Chicago,2016-04-30,217000.0
 IL,Chicago,2016-05-31,220000.0
 IL,Chicago,2016-06-30,229000.0
 IL,Chicago,2016-07-31,225000.0
 IL,Chicago,2016-08-31,220000.0
 IL,Chicago,2016-09-30,204000.0
 IL,Chicago,2016-10-31,205000.0
 IL,Chicago,2016-11-30,200000.0
 IL,Chicago,2016-12-31,200000.0
 IL,Chicago,2017-01-31,195002.0
 IL,Chicago,2017-02-28,196000.0
 IL,Chicago,2017-03-31,215000.0
 IL,Chicago,2017-04-30,229000.0
 IL,Chicago,2017-05-31,230000.0
 IL,Chicago,2017-06-30,240000.0
 IL,Chicago,2017-07-31,235000.0
 IL,Chicago,2017-08-31,226000.0
 IL,Chicago,2017-09-30,217000.0
 IL,Chicago,2017-10-31,215000.0
 IL,Chicago,2017-11-30,215000.0
 IL,Chicago,2017-12-31,215000.0
 IL,Chicago,2018-01-31,215000.0
 IL,Chicago,2018-02-28,220000.0
 IL,Chicago,2018-03-31,233500.0
 IL,Chicago,2018-04-30,240000.0
 IL,Chicago,2018-05-31,241000.0
 IL,Chicago,2018-06-30,255000.0
 IL,Chicago,2018-07-31,241000.0
 IL,Chicago,2018-08-31,230000.0
 IL,Chicago,2018-09-30,220000.0
 IL,Chicago,2018-10-31,218500.0
 IL,Chicago,2018-11-30,220250.0
 IL,Chicago,2018-12-31,215000.0
 IL,Chicago,2019-01-31,215000.0
 IL,Chicago,2019-02-28,217500.0
 IL,Chicago,2019-03-31,232500.0
 IL,Chicago,2019-04-30,240000.0
 IL,Chicago,2019-05-31,245000.0
 IL,Chicago,2019-06-30,250000.0
 IL,Chicago,2019-07-31,245000.0
 IL,Chicago,2019-08-31,240000.0
 IL,Chicago,2019-09-30,229000.0
 IL,Chicago,2019-10-31,225500.0
 IL,Chicago,2019-11-30,225000.0
 IL,Chicago,2019-12-31,225000.0
 IL,Chicago,2020-01-31,220000.0
 IL,Chicago,2020-02-29,222000.0
 IL,Chicago,2020-03-31,248000.0
 IL,Chicago,2020-04-30,256950.0
 IL,Chicago,2020-05-31,246000.0
 IL,Chicago,2020-06-30,250000.0
 IL,Chicago,2020-07-31,265000.0
 IL,Chicago,2020-08-31,267000.0
 IL,Chicago,2020-09-30,260000.0
 IL,Chicago,2020-10-31,260000.0
 IL,Chicago,2020-11-30,253000.0
 IL,Chicago,2020-12-31,250000.0
 IL,Chicago,2021-01-31,245950.0
 IL,Chicago,2021-02-28,245000.0
 IL,Chicago,2021-03-31,268000.0
 IL,Chicago,2021-04-30,275500.0
 IL,Chicago,2021-05-31,289000.0
 IL,Chicago,2021-06-30,292000.0
 IL,Chicago,2021-07-31,285000.0
 IL,Chicago,2021-08-31,280000.0
 IL,Chicago,2021-09-30,270000.0
 IL,Chicago,2021-10-31,270000.0
 IL,Chicago,2021-11-30,265000.0
 IL,Chicago,2021-12-31,265000.0
 IL,Chicago,2022-01-31,260000.0
 IL,Chicago,2022-02-28,267400.0
 IL,Chicago,2022-03-31,275000.0
 IL,Chicago,2022-04-30,300000.0
 IL,Chicago,2022-05-31,305000.0
 IL,Chicago,2022-06-30,310000.0
 IL,Chicago,2022-07-31,293000.0
 IL,Chicago,2022-08-31,285000.0
 IL,Chicago,2022-09-30,277000.0
 IL,Chicago,2022-10-31,270000.0
 IL,Chicago,2022-11-30,270000.0
 IL,Chicago,2022-12-31,260000.0
 IL,Chicago,2023-01-31,260000.0
 IL,Chicago,2023-02-28,264000.0
 IL,Chicago,2023-03-31,284900.0
 IL,Chicago,2023-04-30,295000.0
 IL,Chicago,2023-05-31,310000.0
 IL,Chicago,2023-06-30,322000.0
 IL,Chicago,2023-07-31,315000.0
 IL,Chicago,2023-08-31,310000.0
 IL,Chicago,2023-09-30,300000.0
 IL,Chicago,2023-10-31,289000.0
 IL,Chicago,2023-11-30,289000.0
 IL,Chicago,2023-12-31,285000.0
 TX,Dallas,2008-02-29,138000.0
 TX,Dallas,2008-03-31,146000.0
 TX,Dallas,2008-04-30,145000.0
 TX,Dallas,2008-05-31,150000.0
 TX,Dallas,2008-06-30,155460.0
 TX,Dallas,2008-07-31,154500.0
 TX,Dallas,2008-08-31,150000.0
 TX,Dallas,2008-09-30,140000.0
 TX,Dallas,2008-10-31,140000.0
 TX,Dallas,2008-11-30,135000.0
 TX,Dallas,2008-12-31,135000.0
 TX,Dallas,2009-01-31,129000.0
 TX,Dallas,2009-02-28,138950.0
 TX,Dallas,2009-03-31,138000.0
 TX,Dallas,2009-04-30,140000.0
 TX,Dallas,2009-05-31,151125.0
 TX,Dallas,2009-06-30,156000.0
 TX,Dallas,2009-07-31,154000.0
 TX,Dallas,2009-08-31,150500.0
 TX,Dallas,2009-09-30,144375.0
 TX,Dallas,2009-10-31,141000.0
 TX,Dallas,2009-11-30,139000.0
 TX,Dallas,2009-12-31,140000.0
 TX,Dallas,2010-01-31,130650.0
 TX,Dallas,2010-02-28,142950.0
 TX,Dallas,2010-03-31,146000.0
 TX,Dallas,2010-04-30,149500.0
 TX,Dallas,2010-05-31,150952.0
 TX,Dallas,2010-06-30,154862.0
 TX,Dallas,2010-07-31,155000.0
 TX,Dallas,2010-08-31,155000.0
 TX,Dallas,2010-09-30,144000.0
 TX,Dallas,2010-10-31,141075.0
 TX,Dallas,2010-11-30,140500.0
 TX,Dallas,2010-12-31,147000.0
 TX,Dallas,2011-01-31,137250.0
 TX,Dallas,2011-02-28,140000.0
 TX,Dallas,2011-03-31,139000.0
 TX,Dallas,2011-04-30,143000.0
 TX,Dallas,2011-05-31,149000.0
 TX,Dallas,2011-06-30,153000.0
 TX,Dallas,2011-07-31,152000.0
 TX,Dallas,2011-08-31,152500.0
 TX,Dallas,2011-09-30,145000.0
 TX,Dallas,2011-10-31,141199.0
 TX,Dallas,2011-11-30,139500.0
 TX,Dallas,2011-12-31,145000.0
 TX,Dallas,2012-01-31,138000.0
 TX,Dallas,2012-02-29,143000.0
 TX,Dallas,2012-03-31,153000.0
 TX,Dallas,2012-04-30,155000.0
 TX,Dallas,2012-05-31,162500.0
 TX,Dallas,2012-06-30,166000.0
 TX,Dallas,2012-07-31,164900.0
 TX,Dallas,2012-08-31,160000.0
 TX,Dallas,2012-09-30,159900.0
 TX,Dallas,2012-10-31,153900.0
 TX,Dallas,2012-11-30,155000.0
 TX,Dallas,2012-12-31,157636.0
 TX,Dallas,2013-01-31,147000.0
 TX,Dallas,2013-02-28,155000.0
 TX,Dallas,2013-03-31,165000.0
 TX,Dallas,2013-04-30,175000.0
 TX,Dallas,2013-05-31,180000.0
 TX,Dallas,2013-06-30,184000.0
 TX,Dallas,2013-07-31,184000.0
 TX,Dallas,2013-08-31,180000.0
 TX,Dallas,2013-09-30,174900.0
 TX,Dallas,2013-10-31,171000.0
 TX,Dallas,2013-11-30,168500.0
 TX,Dallas,2013-12-31,172000.0
 TX,Dallas,2014-01-31,161000.0
 TX,Dallas,2014-02-28,171000.0
 TX,Dallas,2014-03-31,178350.0
 TX,Dallas,2014-04-30,182000.0
 TX,Dallas,2014-05-31,188000.0
 TX,Dallas,2014-06-30,195000.0
 TX,Dallas,2014-07-31,193639.0
 TX,Dallas,2014-08-31,190000.0
 TX,Dallas,2014-09-30,183000.0
 TX,Dallas,2014-10-31,181500.0
 TX,Dallas,2014-11-30,185000.0
 TX,Dallas,2014-12-31,189200.0
 TX,Dallas,2015-01-31,182000.0
 TX,Dallas,2015-02-28,187500.0
 TX,Dallas,2015-03-31,196900.0
 TX,Dallas,2015-04-30,204275.0
 TX,Dallas,2015-05-31,215000.0
 TX,Dallas,2015-06-30,217500.0
 TX,Dallas,2015-07-31,211000.0
 TX,Dallas,2015-08-31,210000.0
 TX,Dallas,2015-09-30,200000.0
 TX,Dallas,2015-10-31,203000.0
 TX,Dallas,2015-11-30,200000.0
 TX,Dallas,2015-12-31,205000.0
 TX,Dallas,2016-01-31,195000.0
 TX,Dallas,2016-02-29,205450.0
 TX,Dallas,2016-03-31,215000.0
 TX,Dallas,2016-04-30,220000.0
 TX,Dallas,2016-05-31,232000.0
 TX,Dallas,2016-06-30,236000.0
 TX,Dallas,2016-07-31,227500.0
 TX,Dallas,2016-08-31,229000.0
 TX,Dallas,2016-09-30,224500.0
 TX,Dallas,2016-10-31,222000.0
 TX,Dallas,2016-11-30,225000.0
 TX,Dallas,2016-12-31,227500.0
 TX,Dallas,2017-01-31,223000.0
 TX,Dallas,2017-02-28,230500.0
 TX,Dallas,2017-03-31,238000.0
 TX,Dallas,2017-04-30,243000.0
 TX,Dallas,2017-05-31,251000.0
 TX,Dallas,2017-06-30,250000.0
 TX,Dallas,2017-07-31,246000.0
 TX,Dallas,2017-08-31,248965.0
 TX,Dallas,2017-09-30,239975.0
 TX,Dallas,2017-10-31,237500.0
 TX,Dallas,2017-11-30,239000.0
 TX,Dallas,2017-12-31,242393.0
 TX,Dallas,2018-01-31,233000.0
 TX,Dallas,2018-02-28,246000.0
 TX,Dallas,2018-03-31,255000.0
 TX,Dallas,2018-04-30,255000.0
 TX,Dallas,2018-05-31,265000.0
 TX,Dallas,2018-06-30,265500.0
 TX,Dallas,2018-07-31,260000.0
 TX,Dallas,2018-08-31,252371.0
 TX,Dallas,2018-09-30,246500.0
 TX,Dallas,2018-10-31,244900.0
 TX,Dallas,2018-11-30,244700.0
 TX,Dallas,2018-12-31,247400.0
 TX,Dallas,2019-01-31,235000.0
 TX,Dallas,2019-02-28,245000.0
 TX,Dallas,2019-03-31,255000.0
 TX,Dallas,2019-04-30,260000.0
 TX,Dallas,2019-05-31,270000.0
 TX,Dallas,2019-06-30,274000.0
 TX,Dallas,2019-07-31,267500.0
 TX,Dallas,2019-08-31,265000.0
 TX,Dallas,2019-09-30,260000.0
 TX,Dallas,2019-10-31,260000.0
 TX,Dallas,2019-11-30,255243.0
 TX,Dallas,2019-12-31,262000.0
 TX,Dallas,2020-01-31,254950.0
 TX,Dallas,2020-02-29,260000.0
 TX,Dallas,2020-03-31,269000.0
 TX,Dallas,2020-04-30,278750.0
 TX,Dallas,2020-05-31,268000.0
 TX,Dallas,2020-06-30,281000.0
 TX,Dallas,2020-07-31,290000.0
 TX,Dallas,2020-08-31,290000.0
 TX,Dallas,2020-09-30,290000.0
 TX,Dallas,2020-10-31,295000.0
 TX,Dallas,2020-11-30,290250.0
 TX,Dallas,2020-12-31,292000.0
 TX,Dallas,2021-01-31,283000.0
 TX,Dallas,2021-02-28,306000.0
 TX,Dallas,2021-03-31,316000.0
 TX,Dallas,2021-04-30,326232.0
 TX,Dallas,2021-05-31,345000.0
 TX,Dallas,2021-06-30,351000.0
 TX,Dallas,2021-07-31,350000.0
 TX,Dallas,2021-08-31,346000.0
 TX,Dallas,2021-09-30,345000.0
 TX,Dallas,2021-10-31,346500.0
 TX,Dallas,2021-11-30,348600.0
 TX,Dallas,2021-12-31,350711.0
 TX,Dallas,2022-01-31,349000.0
 TX,Dallas,2022-02-28,365000.0
 TX,Dallas,2022-03-31,377500.0
 TX,Dallas,2022-04-30,407000.0
 TX,Dallas,2022-05-31,419000.0
 TX,Dallas,2022-06-30,415000.0
 TX,Dallas,2022-07-31,403000.0
 TX,Dallas,2022-08-31,394900.0
 TX,Dallas,2022-09-30,383000.0
 TX,Dallas,2022-10-31,378500.0
 TX,Dallas,2022-11-30,368000.0
 TX,Dallas,2022-12-31,355000.0
 TX,Dallas,2023-01-31,350000.0
 TX,Dallas,2023-02-28,365894.0
 TX,Dallas,2023-03-31,370000.0
 TX,Dallas,2023-04-30,380000.0
 TX,Dallas,2023-05-31,390000.0
 TX,Dallas,2023-06-30,400000.0
 TX,Dallas,2023-07-31,395000.0
 TX,Dallas,2023-08-31,386000.0
 TX,Dallas,2023-09-30,379429.0
 TX,Dallas,2023-10-31,375000.0
 TX,Dallas,2023-11-30,375000.0
 TX,Dallas,2023-12-31,368000.0
 TX,Houston,2008-02-29,146004.0
 TX,Houston,2008-03-31,145000.0
 TX,Houston,2008-04-30,146360.0
 TX,Houston,2008-05-31,150000.0
 TX,Houston,2008-06-30,156000.0
 TX,Houston,2008-07-31,155000.0
 TX,Houston,2008-08-31,154000.0
 TX,Houston,2008-09-30,150000.0
 TX,Houston,2008-10-31,134500.0
 TX,Houston,2008-11-30,130000.0
 TX,Houston,2008-12-31,133000.0
 TX,Houston,2009-01-31,125500.0
 TX,Houston,2009-02-28,132000.0
 TX,Houston,2009-03-31,140000.0
 TX,Houston,2009-04-30,145000.0
 TX,Houston,2009-05-31,152625.0
 TX,Houston,2009-06-30,160000.0
 TX,Houston,2009-07-31,158000.0
 TX,Houston,2009-08-31,158000.0
 TX,Houston,2009-09-30,151900.0
 TX,Houston,2009-10-31,142000.0
 TX,Houston,2009-11-30,145000.0
 TX,Houston,2009-12-31,144000.0
 TX,Houston,2010-01-31,139500.0
 TX,Houston,2010-02-28,143000.0
 TX,Houston,2010-03-31,150000.0
 TX,Houston,2010-04-30,147500.0
 TX,Houston,2010-05-31,148000.0
 TX,Houston,2010-06-30,153000.0
 TX,Houston,2010-07-31,153900.0
 TX,Houston,2010-08-31,152000.0
 TX,Houston,2010-09-30,149500.0
 TX,Houston,2010-10-31,143000.0
 TX,Houston,2010-11-30,146900.0
 TX,Houston,2010-12-31,151835.0
 TX,Houston,2011-01-31,133000.0
 TX,Houston,2011-02-28,147150.0
 TX,Houston,2011-03-31,140500.0
 TX,Houston,2011-04-30,145253.0
 TX,Houston,2011-05-31,151250.0
 TX,Houston,2011-06-30,155500.0
 TX,Houston,2011-07-31,152500.0
 TX,Houston,2011-08-31,151000.0
 TX,Houston,2011-09-30,147995.0
 TX,Houston,2011-10-31,145495.0
 TX,Houston,2011-11-30,143500.0
 TX,Houston,2011-12-31,150000.0
 TX,Houston,2012-01-31,132900.0
 TX,Houston,2012-02-29,138000.0
 TX,Houston,2012-03-31,153000.0
 TX,Houston,2012-04-30,152900.0
 TX,Houston,2012-05-31,160000.0
 TX,Houston,2012-06-30,165000.0
 TX,Houston,2012-07-31,165000.0
 TX,Houston,2012-08-31,158825.0
 TX,Houston,2012-09-30,157000.0
 TX,Houston,2012-10-31,152500.0
 TX,Houston,2012-11-30,155200.0
 TX,Houston,2012-12-31,155000.0
 TX,Houston,2013-01-31,142000.0
 TX,Houston,2013-02-28,152000.0
 TX,Houston,2013-03-31,162500.0
 TX,Houston,2013-04-30,175000.0
 TX,Houston,2013-05-31,175000.0
 TX,Houston,2013-06-30,185000.0
 TX,Houston,2013-07-31,182000.0
 TX,Houston,2013-08-31,180000.0
 TX,Houston,2013-09-30,174000.0
 TX,Houston,2013-10-31,169000.0
 TX,Houston,2013-11-30,172000.0
 TX,Houston,2013-12-31,175000.0
 TX,Houston,2014-01-31,168000.0
 TX,Houston,2014-02-28,173500.0
 TX,Houston,2014-03-31,198521.0
 TX,Houston,2014-04-30,206529.0
 TX,Houston,2014-05-31,212500.0
 TX,Houston,2014-06-30,214995.0
 TX,Houston,2014-07-31,197000.0
